location,id,price,description,year
ZABBAR,2003361,€297000," Finished TOWNHOUSE (approx 133sqm), situated close to all amenities. Layout comprises an entrance hall that leads to a kitchen/dining, bathroom and backyard. On first floor one finds a sitting room, 3 bedrooms and a front balcony. This property also has full roof and ownership of airspace. Needs upgrading.",2020
ZABBAR,2001057,€350000," A very large TOWNHOUSE in Zabbar, close to all amenities. Consists of an entrance hall leading to a kitchen/living/dining area overlooking a large backyard with space for a small pool, bathroom and store room on ground floor. On first floor there are 3 bedrooms, 2 ensuites, washroom and a spacious terrace. Second floor consists of another 2 bedrooms, bathroom and a study. This property has full roof and own airspace. Owners Best Office 2149 2299 7949 2299",2020
MARSASCALA,2003529,€635000," A well kept TERRACED HOUSE in a quiet area in Marsascala. Having hall leading to the kitchen/living/dining overlooking a backyard, and a guest bathroom. On the first floor level the house consists of 4 bedrooms, study room and a bathroom. It has full roof with own airspace, washroom and a garage. This property is going to be sold partly furnished and it is freehold. Ideal also for development in 6 plus 1 area. Must be seen.",2020
PHILIPS,2003476,€528000," A modern TERRACED HOUSE to be sold highly finished and fully furnished, situated in a nice area of Marsaxlokk. Having open plan kitchen/living/dining, a good sized backyard, bathroom and internal yard. On the first floor one find 3 double bedrooms, walk-in wardrobe, front balcony, large washroom and whole ownership of the roof with distant sea views. Included in the price there is a street level 1 car garage. Freehold.",2020
SIGGIEWI,2003456,€583000," TERRACED HOUSE (245sqm), situated in a quiet area close to all amenities. Having hall, sitting room, bedroom, internal yard, boxroom, bathroom, kitchen/dining, large garden and a cellar. Upstairs are 4 bedrooms, front balcony, bathroom, washroom and a terrace, full roof and own airspace. Freehold.",2020
GHAXAQ,2003473,€572000," TERRACED HOUSE facing a green area with front porch. Having large hall/living and dining, bathroom and a corridor that leads you to a separate kitchen overlooking a backyard. On first floor, one finds 3 double bedrooms and a bathroom while on roof level there is a washroom and large entertainment area. Complementing this house is an interconnected garage from its back.",2020
BIRZEBBUGIA,2003267,€530000," Partly furnished TERRACED HOUSE in a quiet area. Having spacious hall, kitchen/living/dining, bathroom and backyard with well, 3 double bedrooms, 1 single bedroom, bathroom and a terrace. Complementing this property is a washroom on full roof, interconnected big 1-car garage and a basement used as a games room.",2020
KAPPARA,2002634,€635000," Well kept TERRACED HOUSE located in one of the best areas of Kappara. Comprises an entrance hall, large living, fully equipped kitchen/dining, yard, bathroom and interconnecting 1 car street level garage with storage. On the upper floor are 3 large bedrooms, 2 balconies, another large bathroom and study. On top floor one finds a large washroom and roof complete with PV panels and solar water heaters.",2020
RABAT,2003220,€635000," Large TERRACED HOUSE (approx 200sqm internally) having double fronted terrace before entering the property, separate sitting area on entry, access to a ground floor garage, kitchen/dining, backyard, washroom and spare toilet, 4 bedrooms, 2 front balconies, bathroom, washroom with roof. It can become beautiful living space.",2020
ZEJTUN,2003138,€530000," Ready to move into TERRACED HOUSE (approx.233sqm) situated close to all amenities. Having hallway leading to a sitting room, bathroom, internal yard, kitchen/dining and a nice backyard, 3 bedrooms, bathroom and back terrace, full roof with washroom and own airspace. A street level 2 car garage included in price. Freehold. Owners Best Office 2149 2299 7949 2299",2020
MELLIEHA,2003489,€610000," Ready to move into TERRACED HOUSE in a lovely area of Mellieha enjoying country views. Accommodation consists of separate kitchen/dining, living room with fireplace, family room, 2 bathrooms, ensuite, large side terrace area and washroom at roof top level. Complimenting this property is an internal 2 car garage with a basement (internal and external entrance) that can be converted into either a bachelor's apartment or office. Freehold.",2020
FGURA,2003207,€425000," Highly finished and furnished TERRACED HOUSE close to all amenities. Layout consists of a front patio, a large living/dining, kitchen, bathroom and backyard at ground floor level. On first floor level one finds 3 bedrooms (with main having a walk in wardrobe that can also be an en suite) and a bathroom. This property has full roof with washroom and ownership of airspace. An optional 7 car semi basement is also available. Freehold.",2020
ZABBAR,2002407,€635500," Very well kept, partly furnished TERRACED HOUSE, in a nice and quiet area of Zabbar. Having open plan kitchen/living/dining, front balcony, bathroom, 3 bedrooms, ensuite, washroom and full ownership of the roof. Complementing this property and included in the price is an 8 car street level garage.",2020
RABAT,2003251,€715000," A corner TERRACED HOUSE situated in a sought after area of Rabat facing open space being sold fully furnished. Property comprises a spacious welcoming entrance, open plan kitchen/living/dining, main bathroom, 3 double bedrooms, spare bathroom and washroom. Complementing this property is a 2 car garage. Must be seen.",2020
ATTARD,2003172,€850000," A semi detached VILLA in quiet and peaceful area. Comprising kitchen/dining, separate living, 3 bedrooms, 2 bathrooms, ensuite, study, backyard with garden, own roof and airspace. Complementing this property is a 3 car drive in and 1 car garage. Freehold. Not to be missed.",2020
MARSASCALA,2002139,€900000," Semi-detached VILLA located in a quiet and elite area. Property consists of a spacious sitting room, fitted kitchen/dining overlooking the back garden with pool, study room and bathroom. Upstairs one finds 3 bedrooms, ensuite and bathroom. At roof level one finds a washroom and roof terrace enjoying sea views. Complementing this property is an interconnected 4 car garage, games room and gym.",2020
GZIRA,2000598,€2118000," Gzira - 940sqm VILLA having hall, a sitting/dining with fireplace, living, dining and a kitchen, large terrace, a side garden with a 3 car drive-in, BBQ area with pool and a large garden, 3 double bedrooms all leading to a balcony, 2 ensuites, bathroom, washroom, full roof and airspace and a large underlying basement.",2020
KAPPARA,2003051,€740000," Corner semi detached VILLA. Upon entering is a front garden, leading to an entrance hall having lateral rooms. At ground floor, one can find a formal sitting/dining, separate kitchen/living and toilet. At first floor one finds a bathroom and 3 bedrooms all having balconies. On the roof level, one enjoys open views. Complementing this residence is a street level 3 car interconnecting garage. Owners Best Office 2149 2299 7949 2299",2020
QAWRA,2003511,€1200000," Fully detached, VILLA situated in a quiet area yet only a minute away from the promenade. On ground floor one can find a marvelous garden, interconnected 2 car garage, 3 car drive-in, huge living and dining area, spacious kitchen, bathroom and an extra room all with doors to the front garden. Upstairs there are 4 bedrooms, large ensuite, bathroom and washroom leading to the roof with open sea views. Having solar panels covering the electricity bills.",2020
MOSTA,2003487,€1400000," Large Detached VILLA (approx 900sqm), recently refurbished including double glazed apertures, under-floor heating, 22 solar panels, alarm system, ac's etc. Comprising hallway, sitting, kitchen/dining and a study with access to the garden and a large outdoor area. The structure for an 11m x 5m pool is ready and just needs finishings. On the first floor finds 4 bedrooms, 2 bathrooms, 2 guest toilets and a nice 34sqm terrace. Must be seen!",2020
RABAT,2003453,€826000," A large corner Semi- Detached VILLA built on a 409sqm plot and situated in the most sought after area of Tal-Virtu. Comprising welcoming hall leading to a large living area, kitchen/dining, sitting, washroom and a guest bathroom. On first floor one finds 4 large bedrooms, bathroom and a large balcony overlooking garden with space for a good sized pool. To be sold partly furnished. Complementing this house is an 1 car semi-basement garage.",2020
TARXIEN,2003503,€695000," Semi detached VILLA facing an ODZ area and surrounded by a garden. Layout comprises of a long drive-in that leads to a large entrance hall, separate dining/living room, good sized kitchen, bathroom, laundry room, internal yard and another room with a bathroom having a separate entrance from the garden. On first floor one finds 3 bedrooms, bathroom and a terrace. This property also has full roof with airspace enjoying spectacular ODZ views. Owners Best Office 2149 2299 7949 2299",2020
KAPPARA,2004945,€1200000," Furnished detached VILLA (560 sqm) comprising hallway, sitting, dining, fitted kitchen/breakfast, 2 bathrooms, 4 double bedrooms, ensuite, storage space, back terrace, swimming pool, front garden and a 1 car garage. At basement level are 6 rooms with permit for kindergarten school, shower and 4 toilets.",2021
BIRZEBBUGIA,2004958,€698000," Furnished TERRACED HOUSE in sought after area. Comprising open plan kitchen/living/dining, 3 bathrooms, a backyard, 3 bedrooms, ensuite, front balcony, street level 5 car garage with underlying basement storage, full roof with washroom, kitchenette, and ownership of airspace. Place for lift from basement to roof.",2021
QORMI,2004745,€585000," Lovely TERRACED HOUSE in a quiet area of Qormi. Having a large street level garage 5 to 6 cars with yard. With the possibility to have a lift from ground floor. Comprising larger than usual open plan kitchen living dining, yard, 3 double bedrooms, 2 bathrooms, washroom and full roof. Must be seen!",2021
ATTARD,2004980,€1010000," Semi-detached VILLA (340sqm) comprising hall, sitting/dining, study, 3 bathrooms, kitchen/living, a large back yard, 3 double bedrooms, ensuite, 2 balconies, washroom, large 4 car basement garage with 2 rooms, games room, a separate lock up garage and a 3 car port. Proposal plans for conversion with pool.",2021
ATTARD,2004602,€1165000," Misrah Kola, highly finished in a modern style, semi detached VILLA in this prime area, having a large outside area with pool. Comprising large open plan living/dining, kitchen with large island overlooking the garden and pool area, 3 bedrooms, 2 bathrooms, spacious 2 car basement garage and a car port. Freehold. Must be seen.",2021
FLEUR-DE-LYS,2005047,€535000," Located in one of the best areas of Fleur De Lys is this TERRACED HOUSE, having a large street level garage included in the price. This property is spread over 3 floors and enjoys the full roof and airspace. In need of renovation.",2021
SALINA,2004221,€900000," Partly furnished TERRACED HOUSE comprising hallway, sitting room, bathroom, bedroom, kitchen/dining and a backyard. On the next floor, one finds 3 bedrooms, bathroom and a back terrace. Full roof with washroom and airspace. Complementing this property is a 4 car street level garage. Freehold.",2021
MOSTA,2005065,€700000," Partly furnished TERRACED HOUSE facing odz area. Comprising hallway, separate sitting/dining, 1 bathroom, internal yard, kitchen/dining area and a backyard. On first floor are 5 bedrooms, front balcony, 1 bathroom and boxroom. Full roof with washroom and airspace and street level 1 car garage.",2021
KIRKOP,2004749,€495000," Beautiful and full of natural light TERRACED HOUSE in Kirkop. Having hall, living, kitchen/dining overlooking a backyard, a guest bathroom and a garage. 3 bedrooms, main with a walk in w/r, bathroom, spare toilet and a large terrace. This house has full roof and own airspace. It is surrounded with a large front porch. Owners Best Office 2149 2299 7949 2299",2021
MELLIEHA,2005014,€1950000," Fully detached, corner, south facing, fully furnished VILLA (1207sqm) with large outdoor and indoor pools, and underlying semi-basement. Comprising hall, separate living/dining room, 5 bathrooms, kitchen/dining area, 3 large terraces, garden views, internal yard, 7 bedrooms, a large pool, deck area, indoor jacuzzi, and a large garden. Option to build extra floor enjoying unobstructed panoramic views.",2021
QAWRA,2003095,€600000," A beautiful TERRACED HOUSE in Qawra, featuring 3 spacious double bedrooms and 2 bathrooms. House has a combined kitchen, living and dining room leading to a large balcony with distant sea views, large 3 car garage with a games room, small yard and a formal sitting room. On roof level one finds 2 large accessible roofs with adjoining washroom and kitchenette ideal for entertaining. House is being sold mostly furnished and also includes solar panels.",2021
ATTARD,2004526,€1650000," Fully detached VILLA in a prestigious area. Set on a plot of approx. 700sqm and having amazing 330sqm garden, enjoying a 40sqm pool, ideal for entertaining. Comprising of an open plan kitchen/ dining/living, a sunny terrace overlooking the garden and pool area, a formal sitting and dining and a guest toilet, 3 double bedrooms, ensuite, a single bedroom/study and bathroom. A full underlying basement with a fully equipped flatlet, 1 car garage and a 3 car drive- in.",2021
MOSTA,2004769,€745000," Fully furnished TERRACED HOUSE with nice swimming pool, and set in an excellent sought after area. Having hall, formal sitting, bathroom and a fully fitted kitchen/living/dining, 3 double bedrooms, bathroom, more rooms which can be used as games room, office or as flat let. At roof level one can enjoy country views. The backyard enjoys a swimming pool and a deck area ideal for entertaining. Complementing this house is an interconnected 4 car garage with reservoir and pump",2021
FGURA,2004991,€445000," Ready to move into TERRACED HOUSE being sold partly furnished and situated close to all amenities. Layout comprises of an entrance hallway, a separate sitting room, internal yard, 1 bathroom, kitchen/dining area and a backyard.On first floor one finds 3 bedrooms, front balcony, boxroom and a bathroom. This property also has full roof with washroom and ownership of airspace. Complementing this property is a front patio and a 1 car street level garage. Freehold. Owners Best Office 2149 2299 7949 2299",2021
ZURRIEQ,2005050,€720000,,2021
KIRKOP,2003478,€805000," Fully detached FARMHOUSE (500sqm) with the most welcoming entrance ever, large open space with a garden on each side, large kitchen/living/dining, bathroom, large bedroom and a garage plus a small workshop on the ground floor. On the first floor are 2 bedrooms. Farmhouse is habitable and partly converted and can be restyled.",2021
ZEBBUG,2004082,€1200000," 400 year old CONVERTED FARMHOUSE having reception, courtyard, dining with fireplace, kitchen/breakfast, living with stove, toilet, laundry, conservatory and approx. 100sqm outside area ideal for pool. Upstairs are 3 bedrooms, ensuite and a closed glass terrace overlooking the courtyard. Having also 1 car garage and a 3 car car-port.",2021
ZURRIEQ,2002872,€500000," HOUSE OF CHARACTER comprising an internal yard with well on ground floor leading to an open plan with old features, kitchen, dining, bathroom and a study. Upstairs are 4 bedrooms, ensuite and another toilet with shower. Roof level are kitchen, toilet and shower, bbq area with amazing valley views.",2021
ZEBBUG,2005086,€635000," Double fronted TOWNHOUSE comprisingentrance hall, a separate sitting room, kitchen/dining area, 2 bathrooms, 2 bedrooms, backyard, storage room and a cellar. On first floor one finds 1 bedroom. This property also has full roof with ownership of airspace. Can be developed further.",2021
QRENDI,2004893,€500000," Converted and Fully Furnished TOWNHOUSE located in the quiet street of Qrendi.Having open plan kitchen/living/dining, and underlying cellar, bathroom and a backyard, 2 double bedrooms, walk in wardrobe that can be used as a 3rd bedroom and ensuite, and Own roof with washroom. Owners Best Office 2149 2299 7949 2299",2021
ZURRIEQ,2004505,€950000," Converted HOUSE OF CHARACTER (387sqm) retaining most of original features. Comprising hall that leads to a living room, birth room, bathroom, kitchen/dining, bedroom and a large backyard with pool, deck and BBQ area and a cellar. On the first floor one finds 3 bedrooms, ensuite, walk in wardrobe, bathroom, washroom and a terrace. This property also has full roof and ownership of airspace. Freehold.",2021
SLIEMA,2004860,€910000," Grand TOWNHOUSE, just a few minutes away from Balluta Bay.A large front garden leads you to a spacious front sitting room with high ceilings, dining room and kitchen, 5 double bedrooms, bathroom a large open balcony ensuite, roof terrace with another room and town views. This lovely property retains many original features.",2021
SLIEMA,2004974,€795000,"library/study and sitting room on ground floor level. Open plan kitchen/living/dining, REF 2004974 Boutique style, corner TOWNHOUSE with large front patio, a 3 Maltese balconies, 3 double bedrooms, 2bathrooms, another sitting area, a wine cellar and on roof level, an entertainment room, kitchenette, and a garden. Optional Garages available close by.",2021
ZEBBUG,2004845,€371000," TOWNHOUSE in need of conversion. Current layout consists of an entrance hall, formal sitting, kitchen with dining area, bathroom and a backyard. On the first floor one finds 3 bedrooms and the second floor consists of a washroom, bathroom and a full roof. This property is freehold.",2021
HAMRUN,2004402,€266000," A traditional Maltese TOWNHOUSE comprising 3 floors. Having hall, formal sitting, kitchen, dining, guest toilet with shower and a backyard. Upstairs are 3 bedrooms and bathroom, washroom and a nice roof terrace. This Property also holds traditional features such as balcony and patterned tiles.",2021
NAXXAR,2004819,€690000," Converted TOWNHOUSE (220sqm) being sold partly furnished and situated close to the center of the village. Comprising hallway, sitting/dining, kitchen/dining, bathroom, backyard with garden and a tool room, 3 bedrooms, front balcony, bathroom and a back terrace overlooking the garden, and own full roof with airspace.",2021
NAXXAR,2005031,€587000,"NAXXAR REF 2005031 bathroom and a backyard. Upstairs are living room, double bedroom, study room, Recently renovated TOWNHOUSE having hall, a kitchen/dining, and 1 bathroom. At roof level there is 1 bedroom, ensuite and a washroom and a large front terrace that can be used for entertaining with place for jacuzzi or small pool. Freehold. Owners Best Office 2149 2299 7949 2299",2021
IBRAG,2005073,€5350001701312," €535,000 Measuring approximately 170sqm being sold partly furnished is this MAISONETTE which is situated in a quiet area and close to all amenities. Layout comprises of an open plan kitchen/living/dining area, front balcony, 1 bathroom, boxroom, 3 bedrooms, ensuite and walk-in wardrobe. This property also owns half the roof with washroom kitchenette, 1 bathroom and a splash pool. A 2 car semi-basement garage is included in price.",2021
QORMI,2004995,€425000," Unique luxury Solitary duplex MAISONETTE being sold partly furnished. On the first floor, one finds a spacious living room with a gas fireplace, a backyard, bathroom, kitchen/dining, and a front balcony. On the 2nd floor, another bathroom, 3 bedrooms and a study. On the roof level, a larger than usual washroom equipped with a kitchenette, bathroom, and 2 massive roofs on either side with distant urban views, Must be seen!",2021
LIJA,2004206,€335000," First floor MAISONETTE being sold furnished. Layout comprises of an open plan kitchen /living/dining, bathroom, 3 bedrooms, ensuite, back balcony and stairs that lead to a washroom with a roof terrace enjoying country views. Property is being sold freehold and owns half the roof including airspace.",2021
MANIKATA,2004925,€477000," Furnished Elevated DUPLEX MAISONETTEcomprising hallway that leads to 2 double bedroom both having ensuite. On next floor one finds an open plan kitchen/living/dining area, back terrace that can be used for entertainment and enjoying beautiful views. This property also has full roof and ownership of airspace.",2021
MARSASCALA,600068,€265000,"Very well kept fully furnished ground floor MAISONETTE situated in a nice area and measuring 148sqm. Consists of a living room, fitted kitchen/dining, 3 bedrooms, bathroom, en-suite, boxroom, front terrace and a backyard.",2021
MOSTA,2004757,€340000," New on the market is this very well kept 3 bedroom MAISONETTE located in a residential area of Mosta close to Speranza chapel. Accommodation comes in the form of a good sized combined kitchen/living/dining area, main bathroom, 3 bedrooms, ensuite, and a large backyard. Being sold furnished.",2021
MOSTA,2004403,€365000," Corner MAISONETTE situated in a very quiet area. Accommodation comprises an entrance hall leading to an open plan kitchen/living/dining area, front balcony, main bathroom, 3 double bedrooms and ensuite. Property also enjoys a washroom and ownership of half the roof. Freehold.",2021
QAWRA,2004351,€190000," Ground floor MAISONETTE measuring approximately 105sqm and situated close to all amenities minutes away from the promenade. Layout comprises of a kitchen/living, 2 bedrooms, bathroom and a backyard. This property is going to be sold furnished and also has use of common pool. Owners Best Office 2149 2299 7949 2299",2021
RABAT,2005035,€483000," Elevated ground floor MAISONETTE being sold furnished and situated close to all amenities. Layout comprises of an open plan kitchen/living/dining area, bathroom, 3 bedrooms, ensuite and a backyard. An interconnected 4 car semi-basement garage is included in price. Freehold. SAN PAWL TAT-TARGA €430,000 REF 2004921 Ready to move into first floor semi-detached",2021
QORMI,2005077,€255000," First floor MAISONETTE, layout consists of an open plan kitchen/living/dining area, a front balcony, 1 bathroom, 3 bedrooms, ensuite, a washroom and front and back terraces. Property is being sold furnished with 6 solar panels.",2021
ST PAULS BAY,2004639,€198000," Elevated ground floor MAISONETTE measuring app 80sqm and situated close to all amenities. Layout comprises of a kitchen/living area, bathroom, internal yard, and 2 bedrooms. Property is going to be sold furnished and freehold.",2021
SWATAR,2003678,€375000," A first floor corner MAISONETTE being sold furnished and situated in one of the best streets in Swatar close to all amenities. Comprising a welcoming living area, fitted kitchen/dining, 3 bedrooms, bathroom, ensuite, large washroom and ownership of part of roof. 2 car interconnected garage is also included. Freehold.",2021
ZABBAR,2004953,€350000,"including a lovely roof terrace enjoying open views. Comprising a huge open plan REF 2004953 Highly finished and modernly furnished 1st floor MAISONETTE kitchen/living/dining, a front terrace, 3 bedrooms, bathroom, ensuite, walk-in wardrobe, a study, and a boxroom, own private 70SQM roof terrace, set up nicely for entertaining.",2021
ATTARD,2004950,€350000," New on the market, furnished, first floor MAISONETTE, in a quiet residential area. Comprising a large open plan kitchen/living/dining, a wide hallway which can be used as a separate living area, 1 bathroom, 3 double bedrooms, ensuite, a walk-in wardrobe and a study that can be used as a single bedroom/office",2021
HAMRUN,2005006,€425000," Fully furnished located in a good area of Hamrun, is this large 4 bedroom highly finished SOLITARY MAISONETTE. Having cosy living room, kitchen/dining, 2 bathrooms, 4 double bedrooms, ensuite, boxroom, study, front and back balconies and a large washroom Having 14 solar panels and 5 air conditioners. Optional garage available. Owners Best Office 2149 2299 7949 2299",2021
FLEUR-DE-LYS,2004658,€371000," Large 200sqm APARTMENT in sought-after part of Birkirkara - Fleur De Lys. Comprising hallway, a separate large kitchen- solid American Walnut, an extremely spacious open plan living/dining with front terrace, 3 double bedrooms, walk-in wardrobe, 2 bathrooms (main with freestanding bathtub), boxroom, washroom and back terrace. This apartment is finished with top-of- the-range quality finishes, fully airconditioned with insulated walls and solid wood internal doors. Optional 2 car garage available.",2021
RABAT,2005071,€390000," New on the market APARTMENT being sold highly finished and partly furnished, located in a sought after area. Accommodation consists of a spacious open plan kitchen/ living/dining area, a front terrace, 3 double bedrooms, ensuite, 1 bathroom and a spacious back terrace enjoying country views. Optional 2 car garage.",2021
LUQA,2004785,€265000," Ready to move into first floor APARTMENT situated close to all amenities. Layout comprises of a kitchen/living, front balcony, bathroom, 3 bedrooms and a back balcony. Property also owns half roof with washroom and is being sold furnished. Freehold.",2021
LUQA,2004975,€220000," Ready to move into first floor APARTMENT served with lift measuring approximately 118sqm and is being sold furnished. Layout comprises of an open plan kitchen/living/dining area, front terrace, 1 bathroom, 3 bedrooms, ensuite and a back balcony. This property also has use of shared roof.Freehold.",2021
MANIKATA,2004070,€328000," APARTMENT forming part of a small block, accommodation comprises of a kitchen/dining area, large living area, 3 double bedrooms, 2 bathrooms, large back terrace and a front balcony. Also Optional 2/3 car garage with an external yard available",2021
MARSASCALA,2004137,€199000," Fourth floor squarish layout APARTMENT served with lift being sold partly furnished. Layout comprises of an open plan kitchen/living/dining, front balcony, 3 bedrooms and 2 bathrooms. This property also has use of shared roof. Freehold. Price negotiable.",2021
MARSASCALA,2004726,€201000," Furnished APARTMENT situated on the second floor. Property consists of a sitting/living, separate kitchen, 3 bedrooms, main bathroom and second guest bathroom. The property owns part of the roof with washroom. All furniture to stay. Owners Best Office 2149 2299 7949 2299",2021
SLIEMA,2004681,€313000," Ready to move into second floor APARTMENT served with lift and situated close to all amenities. Layout comprises of a kitchen/living/dining, front balcony, bathroom, 2 bedrooms, ensuite and back balcony. Property is being sold furnished. Freehold.",2021
SLIEMA,2003747,€532000," Ground floor APARTMENT measuring approx 198sqm, being sold furnished and situated close to all amenities and minutes away from the promenade. Layout comprises an entrance hall that leads to a sitting/dining, front terrace, kitchen/dining, pantry, living room, bathroom, 3 large bedrooms, ensuite, washroom and a large back terrace. Property also has use of shared roof. ST PAULS BAY €350,000 REF 2004992 Second floor APARTMENT served with lift and is being sold furnished. Layout Consists of an open plan kitchen/dining/living area, front balcony, 1 large bathroom, 3 double bedrooms, ensuite and a back balcony. A 2 car garage is also included in the price",2021
MARSASCALA,2005076,€286000," A very well kept and ready to move into APARTMENT in Marsaskala, close to the sea and to all amenities. Layout comprises of a separate kitchen/dining area, back terrace, living room, 2 balconies, 1 bathroom, 3 bedrooms, and a washroom in the roof level, with own half of roof great for entertainment.",2021
MELLIEHA,2002817,€695000," A luxurious fully furnished APARTMENT with access to a communal swimming pool. Consisting of 4 bedrooms, large open plan kitchen/living/dining leading to a large balcony enjoying sea views, ensuite, bathroom, guest toilet and laundry room. Property is highly finished including A/C's, sun beds and outdoor furniture.",2021
MELLIEHA,2004861,€240000," Second floor 3 bedroom APARTMENT having hallway, large living/dining combined with front balcony with distance views of Ghadira bay, separate kitchen, 2 bathrooms and 3 large bedrooms main having a back balcony. One of the bathrooms can easily be changed into a ensuite.",2021
MOSTA,2003032,€350000," Nicely finished first floor APARTMENT, in a block of only 2, served with lift and located in a very nice area. Accommodation consist of an open plan kitchen/living/dining, front balcony, 3 bedrooms, bathroom, ensuite, back terrace, washroom and own part of roof. 1 car semi basement garage is included in price.",2021
MSIDA,2003327,€200000," First floor APARTMENT measuring approximately 70sqm situated close to all amenities. Layout comprises a kitchen/living/dining, front balcony, bathroom, 2 bedrooms and back balcony. Property is going to be sold furnished. Freehold.",2021
MSIDA,2004428,€220000," Ready to move into first floor APARTMENT served with lift, situated within walking distance to Msida Prominade. Layout comprises an open plan kitchen/living/dining, front balcony, bathroom, 3 bedrooms and balcony. Property is going to be sold furnished. Freehold.",2021
NAXXAR,2005021,€320000," Second floor APARTMENT served with lift. Layout comprises of an open plan kitchen/living/dining area, 3 balconies, 1 bathroom, boxroom, 3 bedrooms and ensuite. Property is going to be sold partly furnished. An optional interconnected by lift 2 car basement garage is available. Freehold.",2021
QAWRA,2004935,€148000," First floor APARTMENT served with lift being sold furnished and situated close to all amenities. Layout comprise of an open plan kitchen/living/dining area, internal yard, 1 bathroom and 2 bedrooms. Ideal for rental investment.Freehold",2021
QAWRA,2005062,€225000," New on the market is this ready to move into APARTMENT which is 5 minutes away from the seafront. Layout is in the form of open plan kitchen/living/dining area, front terrace, 3 bedrooms, ensuite, 1 bathroom and back balcony.",2021
QAWRA,2003406,€245000," Ready to move into first floor APARTMENT served with lift measuring approx 75sqm and is situated close to all amenities. Layout comprises a large open plan kitchen/living/dining, bathroom, 2 bedrooms, ensuite and a large front balcony. Property is going to be sold furnished. Freehold Owners Best Office 2149 2299 7949 2299",2021
SWIEQI,2004896,€530000," APARTMENT measuring circa 240sqm, located in a highly sought after residential area of Swieqi. Featuring a welcoming entrance leading to a large open plan kitchen/living/dining, front terrace, boxroom, bathroom, 3 double bedrooms, and 2 ensuites. This property is being sold fully furnished. An optional interconnected garage is also available.",2021
QAWRA,2004252,€228000," New on the market squarish APARTMENT in a pleasant neighborhood. Fully furnished including 2 air conditioners. Comprising an entrance hall leading to an open plan kitchen/living/dining, a large front terrace, 2 bedrooms, ensuite, main bathroom and boxroom. Optional garages are available for rent.",2021
QAWRA,2003941,€212000," Ready to move into third floor APARTMENT served with lift and situated close to all amenities. Layout consists of a kitchen/dining, living room, front balcony, bathroom, 3 bedrooms and back balcony. Property is going to be sold furnished. Freehold",2021
QAWRA,2004121,€250000," Second floor apartment served with lift and situated close to all amenities. Layout comprises a kitchen/living/dining, front balcony, bathroom and 3 bedrooms. Property is going to be sold furnished. Complementing this property is a 1 car basement garage included in price. Freehold.",2021
QORMI,2004750,€198000," Located in a beautiful area of this village is this fully furnished 3 bedroom APARTMENT. Property comprising hall with rooms on both sides, kitchen/dining, washroom with balcony overlooking private gardens, living room with balcony, 3 double bedrooms, boxroom and a bathroom. Lift to be installed in the near future.",2021
RABAT,2004806,€299000," APARTMENT situated just a short walk away from Mdina, served with lift and being sold highly finished and furnished. Comprises of an open plan kitchen, living & dining area, 3 double bedrooms, bathroom and ensuite. Complementing this property is a roof terrace ideal for entertaining. Optional garages available. Owners Best Office 2149 2299 7949 2299",2021
ZEBBUG,2003928,€255000," New on the market first floor APARTMENT having separate kitchen, spacious dining/living, front balcony, bathroom, 3 spacious bedrooms, ensuite and balcony. Complementing this property is a spacious washroom at roof level with good space for BBQ's, and a solar water heater. The property is available for sale partly furnished, solar water heater and AC's are included. Freehold. Must be seen!",2021
VALLETTA,2004866,€460000," This seventh floor APARTMENT is situated in Valletta, Circa 130 sqm, which is just a stone throw away from the Valletta port with amazing sea views. Layout consists of open-plan living/dining, with views over the port, separate kitchen, 3 double bedrooms, 1 Bathroom, 2 ac's, all rooms have natural light, fully furnished & freehold.",2021
RABAT,2004689,€275500," Fully furnished and well kept 2 bedroom corner APARTMENT served with lift and having ownership of part of roof in a fairly new block. Property is being sold fully furnished. Accommodation consists of an open plan with a front balcony, 2 bedrooms, bathroom and part of roof.",2021
SAN GWANN,2004885,€276000," Ready to move into highly finished APARTMENT served with lift and situated in a good residential area in San Gwann. Comprises of a spacious open plan kitchen/living/dining, 2 balconies, 3 double bedrooms, 2 bathrooms, and use of roof. Freehold.",2021
SAN GWANN,2004154,€225000," Ready to move into third floor APARTMENT served with lift and situated close to all amenities. Layout comprises of a kitchen/living/dining, bathroom, laundry room, 2 balconies and 2 bedrooms with main having a nice terrace. Property is going to be sold furnished. Freehold.",2021
SIGGIEWI,2004994,€320000," A small block of 3 located in Siggiewi is this designer finished APARTMENT.Layout consists of a welcoming hall, a large open plan kitchen/living/dining area, 3 large bedrooms, ensuite, 1 bathroom, walk-in wardrobe, washroom, 2 front balconies and 1 large back balcony. Part ownership of roof.Optional 3 car garage.",2021
SIGGIEWI,2005080,€302000," In a block of only 4 served with lift and situated in a quiet area close to all amenities, is this first floor APARTMENT. Layout comprises of a wide hallway, a kitchen/dining area, front balcony, 2 bathrooms, boxroom, 3 bedrooms and a back terrace. Property is going to be sold furnished. Freehold.",2021
ST JULIANS,2004940,€365000," Third floor APARTMENT (135sqm) served with lift and close to all amenities.Layout comprises of a sitting/dining room, front balcony, separate kitchen area, 1 bathroom, 3 bedrooms, ensuite, back balcony and a washroom. Property is being sold partly furnished. An optional interconnected by lift 1 car garage available. Owners Best Office 2149 2299 7949 2299",2021
